Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV4-NL_3	388718	IgM	data-IgM	79	100
IGHV4-NL_3	1734869	IgM	data-IgM	79	100
IGHV3-5	327785	IgM	data-IgM	79	100
IGHV4-149	876718	IgM	data-IgM	79	100
IGHV3-NL_10	1286945	IgM	data-IgM	79	100
IGHV3-88	1550791	IgM	data-IgM	79	100
IGHV4-NL_1	682686	IgM	data-IgM	79	100
IGHV3-88	919474	IgM	data-IgM	79	100
IGHV4-NL_28	1372554	IgM	data-IgM	79	100
IGHV4-NL_10	1689260	IgM	data-IgM	79	100
IGHV4-NL_9	402735	IgM	data-IgM	79	100
IGHV4-NL_29	1213951	IgM	data-IgM	79	100
IGHV4-NL_12	1045119	IgM	data-IgM	79	100
IGHV4-NL_36	802758	IgM	data-IgM	79	100
IGHV4-93	1219656	IgM	data-IgM	79	100
IGHV4-NL_12	163056	IgM	data-IgM	79	100
IGHV4-NL_16	1837975	IgM	data-IgM	79	100
IGHV4-NL_25	1536695	IgM	data-IgM	79	100
IGHV3-9	349598	IgM	data-IgM	79	100
IGHV4-149	1124104	IgM	data-IgM	79	100
IGHV4-NL_25	1487456	IgM	data-IgM	79	100
IGHV4-NL_5	1299231	IgM	data-IgM	79	100
IGHV4-NL_12	1686921	IgM	data-IgM	79	100
IGHV3-52	1211968	IgM	data-IgM	79	100
IGHV4-NL_1	329445	IgM	data-IgM	79	100
IGHV4-NL_3	1744498	IgM	data-IgM	79	100
IGHV4-117	1362900	IgM	data-IgM	79	100
IGHV3-NL_19	35803	IgM	data-IgM	79	100
IGHV4-144	1246228	IgM	data-IgM	79	100
IGHV4-149	514852	IgM	data-IgM	79	100
IGHV4-NL_6	1580992	IgM	data-IgM	79	100
IGHV4-NL_10	1766162	IgM	data-IgM	79	100
IGHV4-NL_13	1477165	IgM	data-IgM	79	100
IGHV4-NL_25	504512	IgM	data-IgM	79	100
IGHV4-NL_10	1183969	IgM	data-IgM	79	100
IGHV4-NL_3	1841533	IgM	data-IgM	79	100
IGHV4-NL_10	783031	IgM	data-IgM	79	100
IGHV3-NL_17	1971779	IgM	data-IgM	79	100
IGHV4-NL_3	1514637	IgM	data-IgM	79	100
